payment_id,order_id,payment_status,payment_method
pay_ord_user_0010_03,ord_user_0010_03,Success,Google Pay
pay_ord_user_0010_04,ord_user_0010_04,Success,Credit Card
pay_ord_user_0011_00,ord_user_0011_00,Success,Apple Pay
pay_ord_user_0011_01,ord_user_0011_01,Success,Cash
pay_ord_user_0011_02,ord_user_0011_02,Success,Apple Pay
pay_ord_user_0011_03,ord_user_0011_03,Success,Apple Pay
pay_ord_user_0011_04,ord_user_0011_04,Success,Cash
pay_ord_user_0011_05,ord_user_0011_05,Success,Cash
pay_ord_user_0011_06,ord_user_0011_06,Success,Google Pay
pay_ord_user_0011_07,ord_user_0011_07,Success,Credit Card
pay_ord_user_0012_00,ord_user_0012_00,Success,Google Pay
pay_ord_user_0012_01,ord_user_0012_01,Success,Apple Pay
pay_ord_user_0013_00,ord_user_0013_00,Success,Apple Pay
pay_ord_user_0013_01,ord_user_0013_01,Success,Apple Pay
pay_ord_user_0013_02,ord_user_0013_02,Success,Google Pay
pay_ord_user_0013_03,ord_user_0013_03,Success,Apple Pay
pay_ord_user_0014_00,ord_user_0014_00,Success,Cash
pay_ord_user_0014_01,ord_user_0014_01,Success,Google Pay
pay_ord_user_0014_02,ord_user_0014_02,Success,Credit Card
pay_ord_user_0015_00,ord_user_0015_00,Success,Google Pay
pay_ord_user_0015_01,ord_user_0015_01,Success,Cash
pay_ord_user_0016_00,ord_user_0016_00,Success,Google Pay
pay_ord_user_0016_01,ord_user_0016_01,Success,Apple Pay
pay_ord_user_0016_02,ord_user_0016_02,Success,Credit Card
pay_ord_user_0017_00,ord_user_0017_00,Success,Credit Card
pay_ord_user_0017_01,ord_user_0017_01,Success,Cash
pay_ord_user_0017_02,ord_user_0017_02,Success,Cash
pay_ord_user_0018_00,ord_user_0018_00,Success,Google Pay
pay_ord_user_0018_01,ord_user_0018_01,Failed,Apple Pay
pay_ord_user_0018_02,ord_user_0018_02,Success,Google Pay
pay_ord_user_0018_03,ord_user_0018_03,Success,Apple Pay
pay_ord_user_0018_04,ord_user_0018_04,Success,Google Pay
pay_ord_user_0019_00,ord_user_0019_00,Success,Credit Card
pay_ord_user_0019_01,ord_user_0019_01,Success,Credit Card
pay_ord_user_0019_02,ord_user_0019_02,Success,Cash
pay_ord_user_0019_03,ord_user_0019_03,Success,Credit Card
pay_ord_user_0019_04,ord_user_0019_04,Success,Credit Card
pay_ord_user_0020_00,ord_user_0020_00,Success,Credit Card
pay_ord_user_0020_01,ord_user_0020_01,Success,Cash
pay_ord_user_0020_02,ord_user_0020_02,Failed,Cash
pay_ord_user_0020_03,ord_user_0020_03,Success,Cash
pay_ord_user_0021_00,ord_user_0021_00,Success,Credit Card
pay_ord_user_0022_00,ord_user_0022_00,Success,Google Pay
pay_ord_user_0022_01,ord_user_0022_01,Success,Credit Card
pay_ord_user_0022_02,ord_user_0022_02,Success,Google Pay
pay_ord_user_0022_03,ord_user_0022_03,Success,Apple Pay
pay_ord_user_0022_04,ord_user_0022_04,Success,Google Pay
pay_ord_user_0023_00,ord_user_0023_00,Success,Google Pay
pay_ord_user_0023_01,ord_user_0023_01,Success,Apple Pay
pay_ord_user_0023_02,ord_user_0023_02,Failed,Google Pay
pay_ord_user_0023_03,ord_user_0023_03,Success,Apple Pay
pay_ord_user_0023_04,ord_user_0023_04,Success,Google Pay
pay_ord_user_0024_00,ord_user_0024_00,Success,Credit Card
pay_ord_user_0024_01,ord_user_0024_01,Success,Credit Card
pay_ord_user_0024_02,ord_user_0024_02,Success,Google Pay
pay_ord_user_0024_03,ord_user_0024_03,Success,Cash
pay_ord_user_0024_04,ord_user_0024_04,Success,Google Pay
pay_ord_user_0024_05,ord_user_0024_05,Success,Credit Card
pay_ord_user_0025_00,ord_user_0025_00,Success,Credit Card
pay_ord_user_0025_01,ord_user_0025_01,Success,Credit Card
pay_ord_user_0025_02,ord_user_0025_02,Success,Google Pay
pay_ord_user_0026_00,ord_user_0026_00,Success,Cash
pay_ord_user_0026_01,ord_user_0026_01,Success,Credit Card
pay_ord_user_0026_02,ord_user_0026_02,Success,Apple Pay
pay_ord_user_0026_03,ord_user_0026_03,Success,Google Pay
pay_ord_user_0026_04,ord_user_0026_04,Success,Apple Pay
pay_ord_user_0026_05,ord_user_0026_05,Success,Cash
pay_ord_user_0026_06,ord_user_0026_06,Success,Cash
pay_ord_user_0026_07,ord_user_0026_07,Success,Apple Pay
pay_ord_user_0026_08,ord_user_0026_08,Success,Google Pay
pay_ord_user_0026_09,ord_user_0026_09,Success,Credit Card
pay_ord_user_0026_10,ord_user_0026_10,Success,Apple Pay
pay_ord_user_0027_00,ord_user_0027_00,Success,Cash
pay_ord_user_0027_01,ord_user_0027_01,Success,Google Pay
pay_ord_user_0027_02,ord_user_0027_02,Success,Cash
pay_ord_user_0027_03,ord_user_0027_03,Success,Google Pay
pay_ord_user_0027_04,ord_user_0027_04,Success,Credit Card
pay_ord_user_0028_00,ord_user_0028_00,Success,Google Pay
pay_ord_user_0028_01,ord_user_0028_01,Success,Credit Card
pay_ord_user_0028_02,ord_user_0028_02,Success,Apple Pay
pay_ord_user_0028_03,ord_user_0028_03,Success,Google Pay
pay_ord_user_0028_04,ord_user_0028_04,Success,Credit Card
pay_ord_user_0029_00,ord_user_0029_00,Success,Apple Pay
pay_ord_user_0029_01,ord_user_0029_01,Success,Credit Card
pay_ord_user_0029_02,ord_user_0029_02,Success,Cash
pay_ord_user_0029_03,ord_user_0029_03,Success,Apple Pay
pay_ord_user_0029_04,ord_user_0029_04,Success,Apple Pay
pay_ord_user_0029_05,ord_user_0029_05,Success,Apple Pay
pay_ord_user_0029_06,ord_user_0029_06,Success,Apple Pay
pay_ord_user_0029_07,ord_user_0029_07,Success,Apple Pay
pay_ord_user_0029_08,ord_user_0029_08,Success,Apple Pay
pay_ord_user_0029_09,ord_user_0029_09,Success,Credit Card
pay_ord_user_0029_10,ord_user_0029_10,Success,Apple Pay
pay_ord_user_0029_11,ord_user_0029_11,Success,Google Pay
pay_ord_user_0030_00,ord_user_0030_00,Success,Apple Pay
pay_ord_user_0030_01,ord_user_0030_01,Failed,Google Pay
pay_ord_user_0030_02,ord_user_0030_02,Success,Cash
pay_ord_user_0031_00,ord_user_0031_00,Success,Apple Pay
pay_ord_user_0031_01,ord_user_0031_01,Success,Apple Pay
pay_ord_user_0031_02,ord_user_0031_02,Success,Google Pay
pay_ord_user_0031_03,ord_user_0031_03,Success,Google Pay
pay_ord_user_0031_04,ord_user_0031_04,Success,Credit Card
pay_ord_user_0031_05,ord_user_0031_05,Success,Google Pay
pay_ord_user_0032_00,ord_user_0032_00,Success,Cash
pay_ord_user_0032_01,ord_user_0032_01,Success,Google Pay
pay_ord_user_0033_00,ord_user_0033_00,Success,Cash
pay_ord_user_0033_01,ord_user_0033_01,Success,Apple Pay
pay_ord_user_0033_02,ord_user_0033_02,Success,Credit Card
pay_ord_user_0033_03,ord_user_0033_03,Success,Google Pay
pay_ord_user_0033_04,ord_user_0033_04,Success,Cash
pay_ord_user_0033_05,ord_user_0033_05,Success,Google Pay
pay_ord_user_0034_00,ord_user_0034_00,Success,Credit Card
pay_ord_user_0035_00,ord_user_0035_00,Success,Credit Card
pay_ord_user_0035_01,ord_user_0035_01,Success,Apple Pay
pay_ord_user_0035_02,ord_user_0035_02,Success,Google Pay
pay_ord_user_0035_03,ord_user_0035_03,Success,Credit Card
pay_ord_user_0036_00,ord_user_0036_00,Success,Credit Card
pay_ord_user_0036_01,ord_user_0036_01,Success,Credit Card
pay_ord_user_0036_02,ord_user_0036_02,Success,Cash
pay_ord_user_0036_03,ord_user_0036_03,Success,Google Pay
pay_ord_user_0036_04,ord_user_0036_04,Success,Cash
pay_ord_user_0036_05,ord_user_0036_05,Success,Google Pay
pay_ord_user_0036_06,ord_user_0036_06,Success,Google Pay
pay_ord_user_0036_07,ord_user_0036_07,Success,Google Pay
pay_ord_user_0036_08,ord_user_0036_08,Success,Google Pay
pay_ord_user_0037_00,ord_user_0037_00,Success,Cash
pay_ord_user_0037_01,ord_user_0037_01,Success,Cash
pay_ord_user_0037_02,ord_user_0037_02,Success,Credit Card
pay_ord_user_0037_03,ord_user_0037_03,Failed,Apple Pay
pay_ord_user_0037_04,ord_user_0037_04,Success,Cash
pay_ord_user_0038_00,ord_user_0038_00,Success,Google Pay
pay_ord_user_0038_01,ord_user_0038_01,Success,Apple Pay
pay_ord_user_0038_02,ord_user_0038_02,Success,Google Pay
pay_ord_user_0039_00,ord_user_0039_00,Success,Credit Card
pay_ord_user_0039_01,ord_user_0039_01,Success,Google Pay
pay_ord_user_0039_02,ord_user_0039_02,Success,Google Pay
pay_ord_user_0039_03,ord_user_0039_03,Success,Google Pay
pay_ord_user_0040_00,ord_user_0040_00,Success,Google Pay
pay_ord_user_0040_01,ord_user_0040_01,Success,Cash
pay_ord_user_0040_02,ord_user_0040_02,Failed,Google Pay
pay_ord_user_0040_03,ord_user_0040_03,Failed,Credit Card
pay_ord_user_0040_04,ord_user_0040_04,Success,Cash
pay_ord_user_0040_05,ord_user_0040_05,Success,Apple Pay
pay_ord_user_0040_06,ord_user_0040_06,Success,Google Pay
pay_ord_user_0040_07,ord_user_0040_07,Success,Google Pay
pay_ord_user_0040_08,ord_user_0040_08,Success,Google Pay
pay_ord_user_0040_09,ord_user_0040_09,Success,Google Pay
pay_ord_user_0040_10,ord_user_0040_10,Success,Credit Card
pay_ord_user_0041_00,ord_user_0041_00,Success,Cash
pay_ord_user_0041_01,ord_user_0041_01,Success,Google Pay
pay_ord_user_0041_02,ord_user_0041_02,Success,Apple Pay
pay_ord_user_0041_03,ord_user_0041_03,Success,Google Pay
pay_ord_user_0041_04,ord_user_0041_04,Success,Cash
pay_ord_user_0041_05,ord_user_0041_05,Success,Cash
pay_ord_user_0041_06,ord_user_0041_06,Failed,Google Pay
pay_ord_user_0041_07,ord_user_0041_07,Success,Credit Card
pay_ord_user_0041_08,ord_user_0041_08,Success,Credit Card
pay_ord_user_0042_00,ord_user_0042_00,Success,Google Pay
pay_ord_user_0042_01,ord_user_0042_01,Success,Google Pay
pay_ord_user_0042_02,ord_user_0042_02,Success,Cash
pay_ord_user_0042_03,ord_user_0042_03,Success,Google Pay
pay_ord_user_0042_04,ord_user_0042_04,Success,Apple Pay
pay_ord_user_0043_00,ord_user_0043_00,Success,Google Pay
pay_ord_user_0043_01,ord_user_0043_01,Success,Credit Card
pay_ord_user_0043_02,ord_user_0043_02,Success,Apple Pay
pay_ord_user_0044_00,ord_user_0044_00,Success,Apple Pay
pay_ord_user_0044_01,ord_user_0044_01,Success,Apple Pay
pay_ord_user_0044_02,ord_user_0044_02,Success,Google Pay
pay_ord_user_0044_03,ord_user_0044_03,Success,Google Pay
pay_ord_user_0044_04,ord_user_0044_04,Success,Cash
pay_ord_user_0045_00,ord_user_0045_00,Success,Apple Pay
pay_ord_user_0045_01,ord_user_0045_01,Success,Apple Pay
pay_ord_user_0045_02,ord_user_0045_02,Success,Apple Pay
pay_ord_user_0045_03,ord_user_0045_03,Success,Google Pay
pay_ord_user_0045_04,ord_user_0045_04,Success,Cash
pay_ord_user_0045_05,ord_user_0045_05,Success,Cash
pay_ord_user_0045_06,ord_user_0045_06,Success,Apple Pay
pay_ord_user_0045_07,ord_user_0045_07,Success,Cash
pay_ord_user_0046_00,ord_user_0046_00,Success,Google Pay
pay_ord_user_0046_01,ord_user_0046_01,Success,Google Pay
pay_ord_user_0047_00,ord_user_0047_00,Success,Google Pay
pay_ord_user_0047_01,ord_user_0047_01,Success,Apple Pay
pay_ord_user_0047_02,ord_user_0047_02,Success,Cash
pay_ord_user_0047_03,ord_user_0047_03,Success,Credit Card
pay_ord_user_0047_04,ord_user_0047_04,Success,Cash
pay_ord_user_0047_05,ord_user_0047_05,Success,Apple Pay
pay_ord_user_0048_00,ord_user_0048_00,Success,Google Pay
pay_ord_user_0049_00,ord_user_0049_00,Success,Apple Pay
pay_ord_user_0049_01,ord_user_0049_01,Success,Cash
pay_ord_user_0049_02,ord_user_0049_02,Success,Credit Card
pay_ord_user_0049_03,ord_user_0049_03,Success,Google Pay
pay_ord_user_0049_04,ord_user_0049_04,Success,Google Pay
pay_ord_user_0049_05,ord_user_0049_05,Success,Cash
pay_ord_user_0049_06,ord_user_0049_06,Success,Cash
pay_ord_user_0050_00,ord_user_0050_00,Success,Apple Pay
pay_ord_user_0050_01,ord_user_0050_01,Success,Cash
pay_ord_user_0050_02,ord_user_0050_02,Success,Apple Pay
pay_ord_user_0050_03,ord_user_0050_03,Success,Credit Card
pay_ord_user_0050_04,ord_user_0050_04,Success,Google Pay
pay_ord_user_0050_05,ord_user_0050_05,Success,Google Pay
pay_ord_user_0050_06,ord_user_0050_06,Success,Cash
pay_ord_user_0050_07,ord_user_0050_07,Success,Apple Pay
pay_ord_user_0051_00,ord_user_0051_00,Success,Cash
pay_ord_user_0051_01,ord_user_0051_01,Success,Google Pay
pay_ord_user_0052_00,ord_user_0052_00,Success,Credit Card
pay_ord_user_0052_01,ord_user_0052_01,Success,Google Pay
pay_ord_user_0052_02,ord_user_0052_02,Success,Credit Card
pay_ord_user_0052_03,ord_user_0052_03,Success,Credit Card
pay_ord_user_0052_04,ord_user_0052_04,Success,Apple Pay
pay_ord_user_0052_05,ord_user_0052_05,Success,Credit Card
pay_ord_user_0052_06,ord_user_0052_06,Success,Google Pay
pay_ord_user_0052_07,ord_user_0052_07,Failed,Credit Card
pay_ord_user_0053_00,ord_user_0053_00,Success,Credit Card
pay_ord_user_0053_01,ord_user_0053_01,Success,Apple Pay
pay_ord_user_0053_02,ord_user_0053_02,Success,Cash
pay_ord_user_0053_03,ord_user_0053_03,Success,Credit Card
pay_ord_user_0053_04,ord_user_0053_04,Success,Google Pay
pay_ord_user_0054_00,ord_user_0054_00,Success,Cash
pay_ord_user_0054_01,ord_user_0054_01,Success,Apple Pay
pay_ord_user_0055_00,ord_user_0055_00,Success,Cash
pay_ord_user_0055_01,ord_user_0055_01,Success,Cash
pay_ord_user_0055_02,ord_user_0055_02,Success,Google Pay
pay_ord_user_0055_03,ord_user_0055_03,Success,Google Pay
pay_ord_user_0056_00,ord_user_0056_00,Success,Credit Card
pay_ord_user_0056_01,ord_user_0056_01,Success,Google Pay
pay_ord_user_0056_02,ord_user_0056_02,Success,Apple Pay
pay_ord_user_0056_03,ord_user_0056_03,Success,Cash
pay_ord_user_0056_04,ord_user_0056_04,Failed,Apple Pay
pay_ord_user_0056_05,ord_user_0056_05,Success,Google Pay
pay_ord_user_0056_06,ord_user_0056_06,Success,Credit Card
pay_ord_user_0057_00,ord_user_0057_00,Success,Google Pay
pay_ord_user_0057_01,ord_user_0057_01,Success,Apple Pay
pay_ord_user_0057_02,ord_user_0057_02,Success,Credit Card
pay_ord_user_0057_03,ord_user_0057_03,Success,Credit Card
pay_ord_user_0058_00,ord_user_0058_00,Success,Cash
pay_ord_user_0058_01,ord_user_0058_01,Success,Google Pay
pay_ord_user_0058_02,ord_user_0058_02,Success,Google Pay
pay_ord_user_0058_03,ord_user_0058_03,Success,Credit Card
pay_ord_user_0059_00,ord_user_0059_00,Success,Cash
pay_ord_user_0059_01,ord_user_0059_01,Success,Google Pay
pay_ord_user_0060_00,ord_user_0060_00,Success,Credit Card
pay_ord_user_0060_01,ord_user_0060_01,Success,Cash
pay_ord_user_0060_02,ord_user_0060_02,Success,Credit Card
pay_ord_user_0060_03,ord_user_0060_03,Success,Google Pay
pay_ord_user_0060_04,ord_user_0060_04,Success,Apple Pay
pay_ord_user_0060_05,ord_user_0060_05,Success,Google Pay
pay_ord_user_0060_06,ord_user_0060_06,Success,Apple Pay
pay_ord_user_0061_00,ord_user_0061_00,Success,Google Pay
pay_ord_user_0061_01,ord_user_0061_01,Success,Credit Card
pay_ord_user_0061_02,ord_user_0061_02,Success,Google Pay
pay_ord_user_0062_00,ord_user_0062_00,Success,Cash
pay_ord_user_0062_01,ord_user_0062_01,Success,Credit Card
pay_ord_user_0062_02,ord_user_0062_02,Success,Credit Card
pay_ord_user_0063_00,ord_user_0063_00,Success,Credit Card
pay_ord_user_0063_01,ord_user_0063_01,Success,Apple Pay
pay_ord_user_0063_02,ord_user_0063_02,Success,Google Pay
pay_ord_user_0064_00,ord_user_0064_00,Success,Apple Pay
pay_ord_user_0064_01,ord_user_0064_01,Success,Google Pay
pay_ord_user_0064_02,ord_user_0064_02,Success,Credit Card
pay_ord_user_0064_03,ord_user_0064_03,Success,Cash
pay_ord_user_0064_04,ord_user_0064_04,Success,Apple Pay
pay_ord_user_0065_00,ord_user_0065_00,Success,Cash
pay_ord_user_0065_01,ord_user_0065_01,Success,Google Pay
pay_ord_user_0065_02,ord_user_0065_02,Success,Google Pay
pay_ord_user_0065_03,ord_user_0065_03,Success,Cash
pay_ord_user_0065_04,ord_user_0065_04,Success,Google Pay
pay_ord_user_0065_05,ord_user_0065_05,Success,Google Pay
pay_ord_user_0065_06,ord_user_0065_06,Success,Apple Pay
pay_ord_user_0065_07,ord_user_0065_07,Success,Cash
pay_ord_user_0066_00,ord_user_0066_00,Success,Google Pay
pay_ord_user_0066_01,ord_user_0066_01,Success,Cash
pay_ord_user_0066_02,ord_user_0066_02,Success,Google Pay
pay_ord_user_0066_03,ord_user_0066_03,Success,Credit Card
pay_ord_user_0066_04,ord_user_0066_04,Success,Cash
pay_ord_user_0067_00,ord_user_0067_00,Success,Google Pay
pay_ord_user_0067_01,ord_user_0067_01,Success,Credit Card
pay_ord_user_0067_02,ord_user_0067_02,Success,Apple Pay
pay_ord_user_0067_03,ord_user_0067_03,Success,Apple Pay
pay_ord_user_0068_00,ord_user_0068_00,Success,Google Pay
pay_ord_user_0068_01,ord_user_0068_01,Success,Credit Card
pay_ord_user_0068_02,ord_user_0068_02,Success,Cash
pay_ord_user_0069_00,ord_user_0069_00,Success,Apple Pay
pay_ord_user_0069_01,ord_user_0069_01,Success,Apple Pay
pay_ord_user_0069_02,ord_user_0069_02,Success,Credit Card
pay_ord_user_0069_03,ord_user_0069_03,Success,Apple Pay
pay_ord_user_0069_04,ord_user_0069_04,Success,Cash
pay_ord_user_0069_05,ord_user_0069_05,Success,Apple Pay
pay_ord_user_0069_06,ord_user_0069_06,Success,Credit Card
pay_ord_user_0070_00,ord_user_0070_00,Success,Credit Card
pay_ord_user_0071_00,ord_user_0071_00,Success,Apple Pay
pay_ord_user_0071_01,ord_user_0071_01,Success,Google Pay
pay_ord_user_0072_00,ord_user_0072_00,Success,Cash
pay_ord_user_0072_01,ord_user_0072_01,Success,Google Pay
pay_ord_user_0073_00,ord_user_0073_00,Success,Cash
pay_ord_user_0073_01,ord_user_0073_01,Success,Cash
pay_ord_user_0073_02,ord_user_0073_02,Success,Cash
pay_ord_user_0073_03,ord_user_0073_03,Success,Cash
pay_ord_user_0073_04,ord_user_0073_04,Success,Cash
pay_ord_user_0073_05,ord_user_0073_05,Success,Apple Pay
pay_ord_user_0074_00,ord_user_0074_00,Success,Cash
pay_ord_user_0074_01,ord_user_0074_01,Success,Apple Pay
pay_ord_user_0074_02,ord_user_0074_02,Success,Credit Card
pay_ord_user_0074_03,ord_user_0074_03,Success,Credit Card
pay_ord_user_0074_04,ord_user_0074_04,Success,Google Pay
pay_ord_user_0074_05,ord_user_0074_05,Success,Credit Card
pay_ord_user_0075_00,ord_user_0075_00,Success,Google Pay
pay_ord_user_0075_01,ord_user_0075_01,Success,Credit Card
pay_ord_user_0075_02,ord_user_0075_02,Success,Apple Pay
pay_ord_user_0076_00,ord_user_0076_00,Success,Cash
pay_ord_user_0076_01,ord_user_0076_01,Success,Apple Pay
pay_ord_user_0076_02,ord_user_0076_02,Success,Google Pay
pay_ord_user_0076_03,ord_user_0076_03,Success,Google Pay
pay_ord_user_0076_04,ord_user_0076_04,Success,Cash
pay_ord_user_0077_00,ord_user_0077_00,Success,Apple Pay
pay_ord_user_0078_00,ord_user_0078_00,Success,Apple Pay
pay_ord_user_0079_00,ord_user_0079_00,Success,Cash
pay_ord_user_0079_01,ord_user_0079_01,Success,Apple Pay
pay_ord_user_0079_02,ord_user_0079_02,Success,Apple Pay
pay_ord_user_0079_03,ord_user_0079_03,Success,Credit Card
pay_ord_user_0079_04,ord_user_0079_04,Success,Credit Card
pay_ord_user_0080_00,ord_user_0080_00,Success,Credit Card
pay_ord_user_0080_01,ord_user_0080_01,Success,Cash
pay_ord_user_0080_02,ord_user_0080_02,Success,Credit Card
pay_ord_user_0080_03,ord_user_0080_03,Success,Google Pay
pay_ord_user_0080_04,ord_user_0080_04,Success,Google Pay
pay_ord_user_0080_05,ord_user_0080_05,Success,Google Pay
pay_ord_user_0080_06,ord_user_0080_06,Success,Credit Card
pay_ord_user_0080_07,ord_user_0080_07,Success,Apple Pay
pay_ord_user_0081_00,ord_user_0081_00,Success,Credit Card
pay_ord_user_0081_01,ord_user_0081_01,Success,Credit Card
pay_ord_user_0081_02,ord_user_0081_02,Success,Apple Pay
pay_ord_user_0081_03,ord_user_0081_03,Success,Apple Pay
pay_ord_user_0081_04,ord_user_0081_04,Success,Cash
pay_ord_user_0082_00,ord_user_0082_00,Success,Apple Pay
pay_ord_user_0082_01,ord_user_0082_01,Success,Apple Pay
pay_ord_user_0082_02,ord_user_0082_02,Failed,Apple Pay
pay_ord_user_0082_03,ord_user_0082_03,Success,Credit Card
pay_ord_user_0082_04,ord_user_0082_04,Success,Credit Card
pay_ord_user_0083_00,ord_user_0083_00,Success,Apple Pay
pay_ord_user_0083_01,ord_user_0083_01,Success,Cash
pay_ord_user_0084_00,ord_user_0084_00,Success,Credit Card
pay_ord_user_0084_01,ord_user_0084_01,Success,Cash
pay_ord_user_0084_02,ord_user_0084_02,Success,Credit Card
pay_ord_user_0084_03,ord_user_0084_03,Success,Credit Card
pay_ord_user_0084_04,ord_user_0084_04,Success,Credit Card
pay_ord_user_0084_05,ord_user_0084_05,Success,Credit Card
pay_ord_user_0084_06,ord_user_0084_06,Success,Google Pay
pay_ord_user_0085_00,ord_user_0085_00,Success,Cash
pay_ord_user_0086_00,ord_user_0086_00,Success,Cash
pay_ord_user_0086_01,ord_user_0086_01,Success,Google Pay
pay_ord_user_0086_02,ord_user_0086_02,Success,Apple Pay
pay_ord_user_0086_03,ord_user_0086_03,Success,Apple Pay
pay_ord_user_0086_04,ord_user_0086_04,Success,Cash
pay_ord_user_0086_05,ord_user_0086_05,Success,Google Pay
pay_ord_user_0086_06,ord_user_0086_06,Success,Google Pay
pay_ord_user_0086_07,ord_user_0086_07,Success,Cash
pay_ord_user_0086_08,ord_user_0086_08,Success,Google Pay
pay_ord_user_0086_09,ord_user_0086_09,Failed,Credit Card
pay_ord_user_0086_10,ord_user_0086_10,Failed,Cash
pay_ord_user_0086_11,ord_user_0086_11,Failed,Credit Card
pay_ord_user_0086_12,ord_user_0086_12,Success,Cash
pay_ord_user_0086_13,ord_user_0086_13,Success,Google Pay
pay_ord_user_0087_00,ord_user_0087_00,Success,Google Pay
pay_ord_user_0087_01,ord_user_0087_01,Success,Google Pay
pay_ord_user_0087_02,ord_user_0087_02,Success,Google Pay
pay_ord_user_0087_03,ord_user_0087_03,Success,Google Pay
pay_ord_user_0088_00,ord_user_0088_00,Success,Apple Pay
pay_ord_user_0089_00,ord_user_0089_00,Success,Credit Card
pay_ord_user_0089_01,ord_user_0089_01,Success,Apple Pay
pay_ord_user_0089_02,ord_user_0089_02,Success,Apple Pay
pay_ord_user_0089_03,ord_user_0089_03,Success,Apple Pay
pay_ord_user_0089_04,ord_user_0089_04,Success,Google Pay
pay_ord_user_0089_05,ord_user_0089_05,Success,Credit Card
